cluster,windows,anomalies,active_windows,active_anomalies,mean_anomaly_score,anomaly_rate,active_anomaly_rate
1,3378,1051,3378,1051,0.02816900358171968,0.3111308466548253,0.3111308466548253
3,3664,885,3664,885,0.03193521002776107,0.24153930131004367,0.24153930131004367
2,4835,205,4835,205,0.0677126781814913,0.04239917269906929,0.04239917269906929
5,33796,2,33796,2,0.2000894092292631,5.917860101787194e-05,5.917860101787194e-05
0,27668,0,0,0,0.18837038543329843,0.0,
4,33785,0,0,0,0.20577424611025025,0.0,
